ID,Sowing_Date,Harvest_Date,Harvest_Month,File_Code,Department,Municipality,Variety,Cropping_System_Simple,Area,Sowing_Month,Harvest_Year,Yield
RC28_2013_410,4/1/2013,7/30/2013,7,RC28,META,VILLAVICENCIO,PANORAMA,SECANO,30,4,2013,1750
RC72_2011_41,3/15/2011,7/13/2011,7,RC72,META,VILLAVICENCIO,COPROSEM_1,SECANO,NA,3,2011,1875
RC27_2013_835,4/4/2013,8/2/2013,8,RC27,META,VILLAVICENCIO,PANORAMA,SECANO,22,4,2013,1875
ENA_2013a_20478,3/27/2013,7/27/2013,7,ENA,META,VILLAVICENCIO,F733,SECANO,NA,3,2013,2000
RC28_2013_409,4/3/2013,8/1/2013,8,RC28,META,VILLAVICENCIO,F733,SECANO,10,4,2013,2187.5
RC72_2011_211,4/15/2011,8/13/2011,8,RC72,META,VILLAVICENCIO,FORTALEZA,SECANO,NA,4,2011,2187.5
RC27_2013_811,5/23/2013,9/20/2013,9,RC27,META,VILLAVICENCIO,PANORAMA,SECANO,20,5,2013,2188
RC27_2013_803,4/5/2013,8/3/2013,8,RC27,META,VILLAVICENCIO,F733,SECANO,36,4,2013,2250
RC28_2013_408,4/1/2013,7/30/2013,7,RC28,META,VILLAVICENCIO,PANORAMA,SECANO,50,4,2013,2250
RC28_2013_405,4/1/2013,7/30/2013,7,RC28,META,VILLAVICENCIO,PANORAMA,SECANO,40,4,2013,2375
RC28_2013_406,4/17/2013,8/15/2013,8,RC28,META,VILLAVICENCIO,PANORAMA,SECANO,35,4,2013,2375
RC72_2011_541,5/15/2011,9/12/2011,9,RC72,META,VILLAVICENCIO,F50,SECANO,NA,5,2011,2500
RC27_2013_805,3/22/2013,7/20/2013,7,RC27,META,VILLAVICENCIO,F733,SECANO,20,3,2013,2500
RC28_2013_403,4/17/2013,8/15/2013,8,RC28,META,VILLAVICENCIO,F733,SECANO,28,4,2013,2500
RC28_2013_399,5/4/2013,9/1/2013,9,RC28,META,VILLAVICENCIO,F733,SECANO,10,5,2013,2500
RC27_2013_796,5/18/2013,9/15/2013,9,RC27,META,VILLAVICENCIO,F733,SECANO,30,5,2013,2500
ENA_2013a_20539,4/9/2013,8/20/2013,8,ENA,META,VILLAVICENCIO,F733,SECANO,NA,4,2013,2500
RC72_2011_129,4/15/2011,8/13/2011,8,RC72,META,VILLAVICENCIO,FORTALEZA,SECANO,NA,4,2011,2500
RC72_2011_540,5/15/2011,9/12/2011,9,RC72,META,VILLAVICENCIO,INPROARROZ 1550,SECANO,NA,5,2011,2500
RC28_2012_84,4/22/2012,8/20/2012,8,RC28,META,RESTREPO,ORQUIDEA,SECANO,34,4,2012,2500
RC61_2012_15478,4/22/2012,8/20/2012,8,RC61,META,RESTREPO,ORQUIDEA 1,SECANO,34,4,2012,2500
RC28_2013_400,3/18/2013,7/16/2013,7,RC28,META,VILLAVICENCIO,PANORAMA,SECANO,40,3,2013,2500
RC28_2013_398,4/14/2013,8/12/2013,8,RC28,META,VILLAVICENCIO,PANORAMA,SECANO,12,4,2013,2500
RC28_2013_404,4/17/2013,8/15/2013,8,RC28,META,VILLAVICENCIO,PANORAMA,SECANO,30,4,2013,2500
